id_acao;ano_exercicio;cd_acao;nome
36852;2013;4384;OPERACIONALIZACAO DA FISCALIZACAO DA PRESTACAO DE SERVICOS
36853;2015;2048;MANUTENCAO DAS ATIVIDADES DA SECRETARIA
36854;2016;2048;MANUTENCAO DAS ATIVIDADES DA SECRETARIA
36855;2016;4242;FOMENTO A PRODUCAO SUSTENTAVEL DA AGRICULTURA, CRIACAO ANIMAL, EXTRATIVISMO E PESCA FAMILIAR - TRANS
36856;2016;2069;AQUISICAO DE LEITE DA AGRICULTURA FAMILIAR
36857;2016;4323;ADEQUACAO SOCIOECONOMICA E AMBIENTAL DAS PROPRIEDADES RURAIS
36858;2016;4351;DESENVOLVIMENTO AGROPECUARIO NOS TERRITORIOS
36859;2015;4074;APOIO A IMPLANTACAO DE LAVOURAS
36860;2014;4154;APOIO A PRODUCAO DE HORTAS DOMESTICAS
36861;2014;4228;APOIO A IMPLANTACAO DE POMARES
36862;2014;4229;CRIACAO DE PEQUENOS ANIMAIS - APICULTURA
36863;2016;2060;MANUTENCAO DA ESTRUTURA DE DEFESA SANITARIA
36864;2016;4250;VIGILANCIA SANITARIA VEGETAL
36865;2013;4113;APOIO A INSTALACAO DE FEIRAS LIVRES
36866;2015;4402;DISCRIMINATORIA E ARRECADACAO DE TERRAS DEVOLUTAS
36867;2013;1250;CENTRO DE TECNOLOGIA E CAPACITACAO AEROESPACIAL DE MINAS GERAIS
36868;2014;1345;FUNDO EQUALIZACAO - PROMOCAO DA COMPETITIVIDADE DO ESTADO NA ATRACAO DE EMPRESAS DE IMPORTANCIA ESTR
36869;2016;1040;FINDES PRO-INVEST - APOIO AO DESENVOLVIMENTO E A MODERNIZACAO DO PARQUE INDUSTRIAL MINEIRO.
36870;2016;1042;FINDES PRO-ESTRUTURACAO - APOIO A ESTRUTURACAO COMERCIAL DE EMPREENDIMENTOS ESTRATEGICOS
36871;2015;4186;FUNDESE EMPRESA MINEIRA COMPETITIVA
36872;2013;2072;OPERACIONALIZACAO DO CONSELHO DE DESENVOLVIMENTO INTEGRADO - COIND
36873;2015;4390;FUNDESE BASE TECNOLOGICA
36874;2015;7541;PROGRAMACAO A CARGO DA COMPANHIA DE DESENVOLVIMENTO DO ESTADO DE MINAS GERAIS - CODEMIG
36875;2014;4137;EDICAO E IMPRESSAO DO JORNAL MINAS GERAIS E DE SERVICOS GRAFICOS.
36876;2013;1013;ELABORACAO E DIVULGACAO DO RELATORIO DO SEGMENTO MINEROMETALURGICO
36877;2014;1037;APOIO A EVENTOS PROMOCIONAIS
36878;2016;4456;FOMENTO AO CRESCIMENTO DAS MICROEMPRESAS E EMPRESAS DE PEQUENO PORTE DE MINAS GERAIS.
36879;2016;4039;DISPONIBILIZACAO DO JORNAL MINAS GERAIS
36880;2014;4035;APOIO A ESTRUTURACAO DOS CONSELHOS TUTELARES E MUNICIPAIS DOS DIREITOS DA CRIANCA E DO ADOLESCENTE
36881;2015;4236;COFINANCIAMENTO PARA MUNICIPIOS NA EXECUCAO DE PROTECAO ESPECIAL
36882;2014;4301;COFINANCIAMENTO DO PISO MINEIRO DE ASSISTENCIA SOCIAL
36883;2015;4301;COFINANCIAMENTO DO PISO MINEIRO DE ASSISTENCIA SOCIAL
36884;2013;1176;TRAVESSIA SOCIAL
36885;2016;4311;PISO MINEIRO DE ASSISTENCIA SOCIAL FIXO
36886;2016;4312;PISO MINEIRO DE ASSISTENCIA SOCIAL VARIAVEL
36887;2016;4313;OFERTA DIRETA DE SERVICOS SOCIOASSISTENCIAIS DE MEDIA E ALTA COMPLEXIDADE NAO REGIONAIS
36888;2016;4580;APOIO FINANCEIRO E MATERIAL A MUNICIPIOS NA PROMOCAO DO DESENVOLVIMENTO SOCIAL
36889;2014;1006;APOIO AO DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS
36890;2013;4475;OPERACIONALIZACAO DOS CONSELHOS VINCULADOS A SUBSERCRATARIA DE DIREITOS HUMANOS
36891;2016;4684;FOMENTO E PROVISAO DE SERVICOS E PROJETOS PARA ADOLESCENTES E JOVENS EM SITUACAO DE VULNERABILIDADE
36892;2013;4098;ASSISTENCIA SOCIAL AO SEGURADO
36893;2016;4067;AUXILIOS PREVIDENCIARIOS CONCEDIDOS AOS SEGURADOS MILITARES E AOS SEUS DEPENDENTES
36894;2014;7006;PROVENTOS DE INATIVOS CIVIS E PENSIONISTAS
36895;2015;7016;COMPENSACAO PREVIDENCIARIA FINANCEIRA ENTRE REGIMES DE PREVIDENCIA
36896;2015;7018;BENEFICIOS PREVIDENCIARIOS - AGE
36897;2013;7022;BENEFICIOS PREVIDENCIARIOS-FAPEMIG
36898;2013;7023;BENEFICIOS PREVIDENCIARIOS DE CONVENIOS MUNICIPAIS
36899;2013;7029;BENEFICIOS PREVIDENCIARIOS - HIDROEX
36900;2016;7029;BENEFICIOS PREVIDENCIARIOS - HIDROEX
36901;2013;7032;BENEFICIOS PREVIDENCIARIOS - TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS - TJMMG
36902;2014;7033;BENEFICIOS PREVIDENCIARIOS - TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS - TCEMG
36903;2016;7035;BENEFICIOS PREVIDENCIARIOS - ERRJ
36904;2015;7036;BENEFICIOS PREVIDENCIARIOS - ERSP
36905;2015;7042;BENEFICIOS PREVIDENCIARIOS - SEDINOR
36906;2013;7046;BENEFICIOS PREVIDENCIARIOS-UNIMONTES
36907;2014;7047;BENEFICIOS PREVIDENCIARIOS-IPEM
36908;2016;7047;BENEFICIOS PREVIDENCIARIOS - IPEM/MG
36909;2016;7048;BENEFICIOS PREVIDENCIARIOS - PCMG
36910;2016;7053;BENEFICIOS PREVIDENCIARIOS - SEDRU
36911;2015;7056;BENEFICIOS PREVIDENCIARIOS - SECTES
36912;2015;7060;BENEFICIOS PREVIDENCIARIOS - UEMG
36913;2015;7061;BENEFICIOS PREVIDENCIARIOS - SETOP
36914;2016;7061;BENEFICIOS PREVIDENCIARIOS - SETOP
36915;2015;7083;BENEFICIOS PREVIDENCIARIOS - RURALMINAS
36916;2013;7088;BENEFICIOS PREVIDENCIARIOS-IMA
36917;2015;7088;BENEFICIOS PREVIDENCIARIOS - IMA
36918;2014;7091;BENEFICIOS PREVIDENCIARIOS-FUCAM
36919;2016;4186;RECUPERACAO E MANUTENCAO DA MALHA VIARIA
36920;2013;4076;IMPLANTACAO, PAVIMENTACAO E RECUPERACAO DE ACESSOS MUNICIPAIS E VIAS URBANAS
36921;2015;4076;IMPLANTACAO, PAVIMENTACAO E RECUPERACAO DE ACESSOS MUNICIPAIS E VIAS URBANAS
36922;2014;4139;ELABORACAO DE PROJETOS E ESTUDOS DE ENGENHARIA E ANALISE DO VALOR
36923;2013;4415;PAVIMENTACAO DE RODOVIAS EM PARCERIA
36924;2014;4104;MODERNIZACAO E CONSERVACAO DE ESTADIOS
36925;2015;4408;PROMOCOES E EVENTOS
36926;2013;4096;DESENVOLVIMENTO E CAPACITACAO DO JOVEM
36927;2015;4100;MOBILIZACAO DE PREFEITURAS E ENTIDADES PARA PROMOCAO DE POLITICAS PUBLICAS DA JUVENTUDE
36928;2013;1185;MINAS 2016 - PROMOCAO DO ESPORTE DE RENDIMENTO EM MINAS GERAIS
36929;2015;4068;XADREZ NA ESCOLA
36930;2014;1038;INFRAESTRUTURA ESPORTIVA
36931;2013;4165;APOIO AO ATLETA E AO PROFISSIONAL DO ESPORTE
36932;2015;4171;AMPLIACAO E REESTRUTURACAO DE ESPACOS ESPORTIVOS
36933;2014;7886;GESTAO DA DIVIDA FUNDADA CONTRATUAL INTERNA
36934;2013;7896;GESTAO DA DIVIDA FUNDADA CONTRATUAL EXTERNA
36935;2013;7010;ENCARGOS DECORRENTES DE INDENIZACOES ADMINISTRATIVAS E JUDICIAIS DETERMINADAS EM LEI
36936;2013;1226;ENSINO SUPERIOR - FAPEMIG
36937;2016;4091;DESENVOLVIMENTO DE ATIVIDADES DE PESQUISA APLICADA EM AGUAS
36938;2013;1309;REDE DE INOVACAO TECNOLOGICA
36939;2016;1100;MANUTENCAO E OPERACIONALIZACAO DAS UNIDADES TECNOLOGICAS
36940;2016;1084;CIDADE DAS AGUAS
36941;2013;4577;PROJETOS DE PESQUISA TECNOLOGICA
36942;2013;4471;SUPORTE A PROJETOS DE PESQUISA E DESENVOLVIMENTO DE PRODUTOS E PROCESSOS INOVADORES
36943;2014;1035;CONSTRUCAO DA NOVA SEDE DA FAPEMIG E PREDIO DE EXTENSAO DA ESCOLA DE MUSICA DA UEMG
36944;2015;1035;CONSTRUCAO DA NOVA SEDE DA FAPEMIG E PREDIO DE EXTENSAO DA ESCOLA DE MUSICA DA UEMG
36945;2014;4626;INDUCAO, INOVACAO E TRANSFERENCIAS DO CONHECIMENTO A PROGRAMAS E PROJETOS DE PESQUISA
36946;2016;4218;CAPACITACAO EM METROLOGIA LEGAL E QUALIDADE
36947;2016;4223;AVALIACAO E FISCALIZACAO EM PRODUTOS PRE-MEDIDOS COMERCIALIZADOS
36948;2014;2005;INFRAESTRUTURAS DO SETOR AGROPECUARIO
36949;2015;4116;CONTROLE E GESTAO SOCIAL DAS POLITICAS PUBLICAS DE AGRICULTURA FAMILIAR
36950;2002;0;SEM DESCRICAO
36951;2006;0;SEM DESCRICAO
36952;1995;2172;DESENVOLVIMENTO E MANUTENCAO DE    SERVICOS DE INFORMATICA
36953;1997;2172;DESENVOLVIMENTO E MANUTENCAO DE    SERVICOS DE INFORMATICA
36954;2007;4011;ELABORACAO LEGISLATIVA E ACOMPANHAMENTO DAS POLITICAS PUBLICAS
36955;2004;4013;ESTUDOS, PESQUISAS E DESENVOLVIMENTO DE PROJETOS
36956;2008;4239;ELABORACAO LEGISLATIVA E ACOMPANHAMENTO DAS POLITICAS PUBLICAS
36957;2009;4239;ELABORACAO LEGISLATIVA E ACOMPANHAMENTO DAS POLITICAS PUBLICAS
36958;2007;4121;FISCALIZACAO CONTABIL, FINANCEIRA, ORCAMENTARIA, OPERACIONAL E PATRIMONIAL
36959;2006;2009;DIRECAO ADMINISTRATIVA
36960;2002;2418;DIRECAO DA POLITICA INSTITUCIONAL
36961;2006;2010;DIRECAO DE POLITICA INSTITUCIONAL
36962;2000;2418;DIRECAO DA POLITICA INSTITUCIONAL
36963;2007;7006;PROVENTOS DE INATIVOS CIVIS E PENSIONISTAS
36964;2003;7060;PROVENTOS DE INATIVOS CIVIS E PENSIONISTAS
36965;2000;7060;PROVENTOS DE INATIVOS CIVIS E      PENSIONISTAS
36966;1996;4140;JULGAMENTO DE CAUSAS EM PRIMEIRA   INSTANCIA
36967;1999;4140;JULGAMENTO DE CAUSAS EM PRIMEIRA   INSTANCIA
36968;1997;4211;DEFENSORIA PUBLICA
36969;1998;4211;DEFENSORIA PUBLICA
36970;1995;2210;SERVICOS DE ASSISTENCIA JURIDICA
36971;1999;4210;SERVICOS DE ASSISTENCIA JURIDICA
36972;1997;1349;AMPLIACAO E MELHORIA DE UNIDADES   PRISIONAIS DA POLICIA CIVIL
36973;1998;4024;ASSISTENCIA A SENTENCIADOS
36974;1999;4029;ASSIST.A ADOLESCENTE EM SITUACAO DE RISCO E AUTOR DE ATO INFRACIONAL
36975;1997;1147;CONSTRUCAO E REPAROS DE UNIDADES   PREDIAIS
36976;1995;4571;CONSTRUCAO, AMPLIACAO E REPAROS DE PENITENCIARIAS
36977;1997;2045;TREINAMENTO DE MAGISTRADOS
36978;1997;2434;CAPACITACAO DE RECURSOS HUMANOS
36979;1998;4259;CERIMONIAL E RELACOES PUBLICAS
36980;1996;4832;PROMOCAO DE ESTUDOS E REALIZACAO   DE EVENTOS ESPECIAIS
36981;1999;1044;SANEAMENTO AMBIENTAL EM BACIAS     HIDROGRAFICAS - PROSAM
36982;1995;1380;SISTEMA DE INFORMATIZACAO E CONTRO-LE DA ARREC. E FISCALIZACAO - SICAF
36983;1995;2009;ADMINISTRACAO DE PALACIOS
36984;1995;2064;DESPESAS  DE EXERCICIOS  ANTERIORESDE EGE/SEF/DIVERSOS
36985;1998;2169;INDENIZACOES ADMINISTRATIVAS E     SENTENCAS JUDICIARIAS
36986;1997;2383;APOIO AO FUNDO DE PREVIDENCIA      SUPLETIVA
36987;1999;2571;ENCARGOS DECORRENTES DA LEI NO.    12.992, DE 30/07/98
36988;1996;4062;RECRUTAMENTO, SELECAO E            ACOMPANHAMENTO SOCIO-FUNCIONAL
36989;1995;4109;ADMINISTRACAO DO PATRIMONIO        IMOBILIARIO
36990;1996;4109;ADMINISTRACAO DO PATRIMONIO        IMOBILIARIO
36991;1996;4515;ADMINISTRACAO CENTRAL DE MATERIAL
36992;1997;4515;ADMINISTRACAO CENTRAL DE MATERIAL
36993;1995;2297;OPERACAO DO CENTRO DE PROCESSAMENTO DE DADOS - CPD/SEF
36994;1996;2400;PROG.A CARGO DA CIA.DE PROCESSAMEN TO DE DADOS DE M.G - PRODEMGE
36995;1999;3055;COMUNICACAO DE DADOS-INFOVIA/MG
36996;1998;1048;CONSTRUCAO, AMPLIACAO E REFORMA DE PREDIOS PUBLICOS
36997;1996;4079;EQUIPAMENTOS URBANOS E OBRAS DE    INFRAESTRUTURA
36998;1997;4573;CONSTRUCAO E REFORMA DE UNIDADES DA POLICIA CIVIL
36999;1996;4114;MODERNIZACAO ADMINISTRATIVA
37000;1999;2202;GESTAO DA DIVIDA CONTRATADA INTERNA
37001;1998;4393;GERENCIAMENTO DO SIST.DE TRIBUTACAO E ADMINIST. TRIBUTARIA ESTADUAL
37002;1998;2081;ENCARGOS DA ADMINISTRACAO          FINANCEIRA
37003;1995;2122;ARRECADACAO E FISCALIZACAO REGIONAL
37004;1995;2132;GERENCIAMENTO DO PROCESSO DE       ARRECADACAO DA RECEITA ESTADUAL
37005;1999;2006;ADMINISTRACAO FINANCEIRA E         CONTABILIDADE
37006;1997;4562;SISTEMA CENTRAL DE ADMINISTRACAO   FINANCEIRA E CONTROLE INTERNO
37007;1999;6002;AUMENTO DE CAPITAL
37008;1995;2202;GESTAO DA DIVIDA CONTRATADA INTERNA
37009;1996;2202;GESTAO DA DIVIDA CONTRATADA INTERNA
37010;1998;6003;AMORTIZACAO DE DIVIDA INTERNA
37011;1995;2181;PARTICIPACAO NO AUMENTO DE CAPITAL DE EMP. FINANCEIRAS E COMERCIAIS
37012;1998;1370;PROGRAMA DE REESTRUTURACAO E       MODERNIZACAO DA SEF
37013;1995;2179;PLANEJAMENTO SETORIAL
37014;1996;4061;PROMOCAO DO DESENVOLVIMENTO DO     NORTE DE MINAS
37015;1996;4296;ASSOCIATIVISMO MUNICIPAL
36493;2015;4445;FISCALIZACAO DA GESTAO  DE RECURSOS PUBLICOS
36494;2014;2009;DIRECAO ADMINISTRATIVA
36495;2016;2145;CAPACITACAO DE SERVIDORES DO TCE, ENTES JURISDICIONADOS E REPRESENTANTES DE ENTIDADES DA SOCIEDADE.
36496;2014;4117;MANUTENCAO E APRIMORAMENTO DOS JUIZADOS ESPECIAIS
36497;2016;4395;PROCESSAMENTO JUDICIARIO
36498;2015;2062;PRESERVACAO DO PATRIMONIO ADMINISTRATIVO E JUDICIAL MILITAR
36499;2014;2453;REMUNERACAO DE MAGISTRADOS DA ATIVA E ENCARGOS SOCIAIS
36500;2015;2109;FORMACAO, APERFEICOAMENTO E DESENVOLVIMENTO CONTINUO DE PESSOAS
36501;2013;4493;OPERACIONALIZACAO DAS ATRIBUICOES INSTITUCIONAIS DO MINISTERIO PUBLICO - PROCURADORIA E PROMOTORIA D
36502;2013;1064;CONSTRUCAO, AMPLIACAO E REFORMA DE SEDES PROPRIAS
36503;2013;1028;OTIMIZACAO DOS PROCESSOS INTERNOS
36504;2016;4012;CUMPRIMENTO DE DETERMINACOES JUDICIAIS DECORRENTES DO ACESSO GRATUITO A JUSTICA
36505;2015;4259;REPRESENTACAO JUDICIAL, COBRANCA DA DIVIDA ATIVA E ASSESSORAMENTO JURIDICO AO ESTADO NA REGIAO METRO
36506;2016;4259;REPRESENTACAO JUDICIAL, COBRANCA DA DIVIDA ATIVA E ASSESSORAMENTO JURIDICO AO ESTADO NA REGIAO METRO
36507;2015;1099;IMPLANTACAO DE NUCLEOS DE ASSISTENCIA JURIDICA ESPECIALIZADA
36508;2015;4033;CONSTRUCAO E REFORMA DE UNIDADES DA DEFENSORIA PUBLICA
36509;2014;2018;DESENVOLVIMENTO E CAPACITACAO DO SERVIDOR
36510;2016;4376;PESQUISA POR AMOSTRA DE DOMICILIOS
36511;2013;4340;AVALIACAO DE FORNECEDORES PARA CONTRATACOES DE SERVICOS
36512;2016;1172;DESENVOLVIMENTO DOS TERRITORIOS
36513;2016;1027;AMPLIACAO E REFORMA DAS UNIDADES DA SEF
36514;2013;2133;MASP - MODERNIZACAO NA ADMINISTRACAO DE SERVICOS E SISTEMAS DE PESSOAL
36515;2014;7723;PROGRAMACAO A CARGO DA COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS - PRODEMGE
36516;2016;7723;PROGRAMACAO A CARGO DA COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS - PRODEMGE
36517;2014;1033;INTEGRACAO DO PLANEJAMENTO NA REGIAO METROPOLITANA DO VALE DO ACO
36518;2013;4053;INCORPORACAO E DIFUSAO DE CONHECIMENTOS PARA GESTAO METROPOLITANA
36519;2015;4053;INCORPORACAO E DIFUSAO DE CONHECIMENTOS PARA GESTAO METROPOLITANA
36520;2015;4083;REGULACAO DA EXPANSAO URBANA DA REGIAO METROPOLITANA DO VALE DO ACO
36521;2013;4556;APOIO TECNICO AOS MUNICIPIOS DA REGIAO METROPOLITANA DE BELO HORIZONTE  PARA A ORDENACAO TERRITORIAL
36522;2015;2145;CAPACITACAO DE SERVIDORES DO TCE, ENTES JURISDICIONADOS E REPRESENTANTES DE ENTIDADES DA SOCIEDADE.
36523;2016;2020;MOBILIDADE FISCAL
36524;2016;4022;MANUTENCAO DA ADMINISTRACAO TRIBUTARIA
36525;2013;1069;MELHORIA DA EFICIENCIA E EFICACIA DA ADMINISTRACAO FINANCEIRA - SEGUNDA ETAPA
36526;2014;1069;MELHORIA DA EFICIENCIA E EFICACIA DA ADMINISTRACAO FINANCEIRA - SEGUNDA ETAPA
36527;2013;1070;MODERNIZACAO DA GESTAO E APERFEICOAMENTO DOS SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - SE
36528;2015;1071;MELHORIA DA EFICIENCIA E EFICACIA DA ADMINISTRACAO TRIBUTARIA - SEGUNDA ETAPA
36529;2013;1073;APERFEICOAMENTO DA GESTAO DE RECURSOS HUMANOS - SEGUNDA ETAPA
36530;2015;1019;ADMINISTRACAO FINANCEIRA E CONTABIL DOS GASTOS PUBLICOS
36531;2013;1089;TECNOLOGIA DA INFORMACAO - EXCELENCIA DA GESTAO FISCAL.
36532;2015;1177;AMPLIACAO E REFORMA DAS UNIDADES FISCAIS
36533;2014;1247;MELHORIA DA EFICIENCIA E EFICACIA DA ADMINISTRACAO TRIBUTARIA
36534;2013;4210;DESENVOLVIMENTO DE PARCERIAS PUBLICO-PRIVADAS
36535;2015;4210;DESENVOLVIMENTO DE PARCERIAS PUBLICO-PRIVADAS
36536;2015;4595;CONTRATO DE PPP DA MG 050
36537;2014;4599;PAGAMENTO DE CONTRAPRESTACOES A CONCESSIONARIA DO CONTRATO DE PPP UAI
36538;2013;2105;DESENVOLVIMENTO DE PRATICAS DE GESTAO DO CONHECIMENTO
36539;2013;4199;AQUISICAO E DISTRIBUICAO DE LEITE PASTEURIZADO
36540;2016;2120;SEGURANCA ALIMENTAR E NUTRICIONAL (SAN) EM MINAS GERAIS
36541;2016;4526;IMPLANTACAO DA POLITICA DE BEM-ESTAR, SAUDE E SEGURANCA NO AMBIENTE DE TRABALHO DOS SERVIDORES PUBLI
36542;2016;4403;ESTUDOS, PESQUISAS E PROJETOS EM DESENVOLVIMENTO TERRITORIAL
36543;2013;4500;ESTUDOS E PESQUISAS EM SEGURANCA PUBLICA
36544;2014;4500;ESTUDOS E PESQUISAS EM SEGURANCA PUBLICA
36545;2016;2093;REFORMA E AMPLIACAO DE UNIDADES PREDIAIS DO CBMMG
36546;2014;2087;REFORMA E AMPLIACAO DE UNIDADES PREDIAIS DO CBMMG
36547;2015;4273;PREVENCAO E COMBATE A SINISTROS
36548;2013;4262;ASSISTENCIA A MUNICIPIOS EM CALAMIDADE OU EM SITUACAO DE EMERGENCIA
36549;2014;4262;ASSISTENCIA A MUNICIPIOS EM CALAMIDADE OU EM SITUACAO DE EMERGENCIA
36550;2014;4320;INTEGRACAO E PROMOCAO DA QUALIDADE OPERACIONAL DO SISTEMA DE DEFESA SOCIAL
36551;2014;4454;GESTAO DA INFORMACAO
36552;2015;4454;GESTAO DA TECNOLOGIA DA INFORMACAO E COMUNICACAO
36553;2016;4615;PRODUCAO DE INFORMACOES DE DEFESA SOCIAL
36554;2016;4582;EXPANSAO E APRIMORAMENTO DA EXECUCAO DOS EIXOS ESTRATEGICOS DEFINIDOS PELO SISTEMA NACIONAL DE ATEND
36555;2014;7007;PROVENTOS DE INATIVOS MILITARES
36556;2015;2141;MANUTENCAO DE MORADIAS FUNCIONAIS PARA SERVIDORES EM SITUACAO DE RISCO
36557;2014;2028;AVALIACAO DA ATUACAO DO SISTEMA DE DEFESA SOCIAL
36558;2016;4620;REESTRUTURACAO, MODERNIZACAO E MANUTENCAO DA ESCOLA DE FORMACAO DA SEDS COM VISTAS A IMPLANTACAO DA
36559;2015;1104;MODERNIZACAO E REESTRUTURACAO DA ESCOLA DE FORMACAO DO SISTEMA DE DEFESA SOCIAL
36560;2013;1291;HUMANIZACAO DO SISTEMA PRISIONAL E IMPLANTACAO DE APAC
36561;2015;4092;ATENDIMENTO AO ADOLESCENTE EM CONFLITO COM A LEI - CUMPRIMENTO DE MEDIDAS SOCIOEDUCATIVAS EM MEIO AB
36562;2013;4379;CUSTODIA E RESSOCIALIZACAO DE PRESOS
36563;2015;4379;CUSTODIA E RESSOCIALIZACAO DE PRESOS
36564;2015;1052;DIRETRIZES DE ATENCAO INTEGRAL AO USUARIO DE DROGAS - DAIUD
36565;2014;1027;APOIO A ESTRUTURACAO E AO REAPARELHAMENTO DE UNIDADES PRISIONAIS
36566;2016;4604;GESTAO DOS PRESOS SOB A GUARDA DA POLICIA CIVIL
36567;2013;1124;IMPLANTACAO DAS COORDENADORIAS REGIONAIS
36568;2013;1046;DIALOGOS INOVADORES E AGENDA INTERNACIONAL
36569;2016;7096;BENEFICIOS PREVIDENCIARIOS - FCS
36570;2015;7209;BENEFICIOS PREVIDENCIARIOS - FUNED
36571;2013;7225;BENEFICIOS PREVIDENCIARIOS-FHEMIG
36572;2014;7225;BENEFICIOS PREVIDENCIARIOS-FHEMIG
36573;2016;7312;BENEFICIOS PREVIDENCIARIOS - HEMOMINAS
36574;2014;7428;BENEFICIOS PREVIDENCIARIOS-FEAM
36575;2015;7428;BENEFICIOS PREVIDENCIARIOS - FEAM
